OBJECTID,ZR_ID,ZR_ARTIFIC,ZR_NOMBRE,ZR_SUPERFI,ZR_COMENTA,ZR_FIABILI,ZR_NUM_EXP,DOC_ADJ,N_tx,ID_EXPLOTA,OBJECTID2,USU_ALTA,FEC_ALTA,USU_MODIF,FEC_MODIF,IDPART,CAPA_CAD,Emu_OBJECT,CT_ID,CT_INSTAL,CT_CATEG,GNR_NUM1,GNR_NUM2,GNR_NUM3,GNR_TXT1,GNR_TXT2,GNR_TXT3,COD_MUNI,COD_SIT,ZR_ID_SUMI,ZR_COD_LOC,ZR_SUMINIS,AGIS_Etiqu,ID_AGIS,ID_GA,FEC_RECEP,SHAPE_STAr,SHAPE_STLe,Poligonos
"72",,,,79.00734710000,,,,N,"2","0","90",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"90",ASIGNAR RANACO,"90","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,79.00708007810,44.78818828910,"1"
"73",,,,78.24494934000,,,,N,"2","0","91",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"91",ASIGNAR RANACO,"91","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,78.24462890630,43.58552541980,"1"
"74",,,,76.85949707000,,,,N,"2","0","92",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"92",ASIGNAR RANACO,"92","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,76.85961914060,43.75871540820,"1"
"75",,,,190.11959838000,,,,N,"2","0","93",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"93",ASIGNAR RANACO,"93","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,190.11938476600,74.99381323640,"1"
"76",,,,528.76177978000,,,,N,"2","0","94",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"94",ASIGNAR RANACO,"94","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,528.76391601600,141.59443347500,"1"
"77",AJ003,N,<Nulo>,0.00000000000,<Nulo>,P,"2011",N,"4","0","104",Admin,20100611120000.00000000000,fegea,20170313102900.00000000000,"104","2213606","104","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,1624.29833984000,173.57135680400,"1"
"78",AJ003,N,<Nulo>,0.00000000000,<Nulo>,P,"2011",N,"4","0","105",Admin,20100611120000.00000000000,fegea,20170313102900.00000000000,"105","2213606","105","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,1354.59545898000,163.40892293600,"1"
"79",AJ003,N,<Nulo>,0.00000000000,<Nulo>,P,"2011",N,"4","0","106",Admin,20100611120000.00000000000,fegea,20170313102900.00000000000,"106","2213606","106","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,161.72290039100,55.61808856740,"1"
"87",TO006.1,,,148.14149475000,,,,N,"49","0","114",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"114",ASIGNAR RANACO,"114","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,148.14038085900,57.74185169440,"1"
"156",ES001,,,188.27049255000,,,,N,"20","0","197",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"197","2213937","197","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,188.27099609400,91.24585137980,"1"
